табельный_№,ФИО,подразделение,должность,год_рождения,год_приёма,место_работы,ставка,примечание
1104,Центрова Елена Глебовна,Отдел наблюдательной космологии,младший научный сотрудник,1991,2015,Нижний Отрезок,1.0,
1110,Углов Роман Васильевич,Архив и библиотека,библиограф,1961,1983,Нижний Отрезок,0.75,
1111,Тензоров Матвей Павлович,Архив и библиотека,библиограф,1985,2017,Нижний Отрезок,1.0,
1113,Секторова Римма Васильевна,Отдел наблюдательной космологии,аспирант,2001,2024,Нижний Отрезок,0.75,
1115,Диагоналева Вера Ильинична,Служба обсерватории Касательная,смотритель,1964,2022,Касательная,1.0,
1121,Котангенсов Игорь Фёдорович,Отдел теоретической космологии,научный сотрудник,1971,2004,Нижний Отрезок,0.5,
1128,Тангенсова Вера Игоревна,Радиоотдел (обсерватория Нормаль),инженер,1957,2001,Нормаль,1.0,
1133,Трапециева Римма Ильинична,Лаборатория толщинометрии,старший научный сотрудник,1997,2022,Нижний Отрезок,1.0,
1134,Рёбров Тимофей Кириллович,Архив и библиотека,библиограф,1997,2024,Нижний Отрезок,1.0,
1136,Овалова Яна Лукинична,Мастерские,шлифовщик отрезков,1993,2016,Нижний Отрезок,0.5,
1140,Скаляров Всеволод Олегович,Отдел теоретической космологии,аспирант,2001,2023,Нижний Отрезок,0.75,
1143,Дугова Юлия Олеговна,Бухгалтерия и администрация,специалист по кадрам,1958,1988,Нижний Отрезок,1.0,
1151,Секторова Римма Лукинична,Лаборатория толщинометрии,инженер,1970,2012,Нижний Отрезок,1.0,
1159,Тангенсова Дарья Олеговна,Отдел наблюдательной космологии,младший научный сотрудник,1956,2018,Нижний Отрезок,0.75,
1167,Апофемов Семён Романович,Архив и библиотека,библиограф,1975,2010,Нижний Отрезок,0.5,
1174,Хордин Ярослав Фёдорович,Отдел теоретической космологии,ведущий научный сотрудник,1980,2005,Нижний Отрезок,1.0,
1177,Отрезкин Борис Лукич,Мастерские,шлифовщик отрезков,1972,2020,Нижний Отрезок,0.75,
1182,Апофемов Ярослав Павлович,Архив и библиотека,архивист,1987,2020,Нижний Отрезок,1.0,
1189,Сегментова Таисия Ильинична,Бухгалтерия и администрация,бухгалтер,1965,1991,Нижний Отрезок,0.5,
1194,Дугова Нелли Глебовна,Мастерские,слесарь-лекальщик,1973,2016,Нижний Отрезок,1.0,
1203,Секторова Ольга Лукинична,Отдел наблюдательной космологии,ведущий научный сотрудник,1955,2012,Нижний Отрезок,0.5,
1207,Ромбикова Ольга Семёновна,Бухгалтерия и администрация,завхоз,1963,1993,Нижний Отрезок,0.5,
1212,Штрихова Нелли Лукинична,Лаборатория толщинометрии,инженер,1985,2025,Нижний Отрезок,1.0,
1217,Трапециева Таисия Борисовна,Архив и библиотека,библиограф,1957,1985,Нижний Отрезок,0.5,
1218,Вершинина Марина Романовна,Радиоотдел (обсерватория Нормаль),оператор радиотелескопа,1966,2019,Нормаль,1.0,
1223,Отрезкин Игорь Семёнович,Лаборатория толщинометрии,инженер,1951,2009,Нижний Отрезок,1.0,
1228,Скалярова Алина Семёновна,Служба обсерватории Касательная,наблюдатель,1961,1987,Касательная,1.0,
1231,Биссектрисов Кирилл Игоревич,Лаборатория толщинометрии,старший научный сотрудник,1998,2021,Нижний Отрезок,0.75,
1235,Радиусова Дарья Андреевна,Бухгалтерия и администрация,завхоз,1971,1997,Нижний Отрезок,0.5,
1240,Котангенсов Ярослав Олегович,Лаборатория толщинометрии,старший научный сотрудник,1957,2009,Нижний Отрезок,0.5,
1244,Лучинина Алина Ильинична,Радиоотдел (обсерватория Нормаль),научный сотрудник,1974,1997,Нормаль,0.5,
1251,Штрихов Василий Ильич,Отдел теоретической космологии,ведущий научный сотрудник,1994,2023,Нижний Отрезок,0.5,
1260,Кривцов Леонид Олегович,Отдел наблюдательной космологии,ведущий научный сотрудник,1969,1997,Нижний Отрезок,1.0,
1263,Дугов Ярослав Игоревич,Архив и библиотека,библиограф,1968,2009,Нижний Отрезок,1.0,
1267,Дугова Яна Ильинична,Лаборатория толщинометрии,инженер,1986,2023,Нижний Отрезок,1.0,
1269,Синусов Никита Андреевич,Служба обсерватории Касательная,наблюдатель,1961,1986,Касательная,0.5,
1278,Гранёв Леонид Олегович,Архив и библиотека,архивист,1954,2000,Нижний Отрезок,1.0,
1279,Тензоров Игорь Борисович,Мастерские,слесарь-лекальщик,1959,1988,Нижний Отрезок,0.75,
1285,Овалов Всеволод Борисович,Лаборатория толщинометрии,старший научный сотрудник,1969,2021,Нижний Отрезок,1.0,
1286,Кривцова Зоя Денисовна,Радиоотдел (обсерватория Нормаль),ведущий инженер,1966,2014,Нормаль,0.5,
1290,Котангенсова Ольга Павловна,Мастерские,шлифовщик отрезков,1973,2019,Нижний Отрезок,0.5,
1299,Катетова Дарья Андреевна,Отдел теоретической космологии,старший научный сотрудник,1962,1995,Нижний Отрезок,0.5,
1303,Сегментова Ксения Андреевна,Отдел теоретической космологии,аспирант,2000,2023,Нижний Отрезок,0.75,
1309,Кривцов Леонид Леонидович,Отдел теоретической космологии,старший научный сотрудник,1961,2021,Нижний Отрезок,1.0,
1310,Биссектрисов Денис Васильевич,Служба обсерватории Касательная,ведущий инженер,1962,2006,Касательная,0.75,
1315,Вершинин Кирилл Романович,Мастерские,слесарь-лекальщик,1951,2019,Нижний Отрезок,1.0,
1323,Медианова Полина Андреевна,Архив и библиотека,библиограф,1976,2021,Нижний Отрезок,1.0,
1332,Апофемов Борис Ильич,Радиоотдел (обсерватория Нормаль),оператор радиотелескопа,1986,2011,Нормаль,1.0,
1337,Котангенсова Таисия Андреевна,Дирекция,заместитель директора по науке,1951,1975,Нижний Отрезок,0.75,
1340,Овалова Зоя Олеговна,Бухгалтерия и администрация,главный бухгалтер,1976,2007,Нижний Отрезок,0.75,
1345,Вершинин Василий Борисович,Радиоотдел (обсерватория Нормаль),ведущий инженер,1958,1989,Нормаль,1.0,
1347,Ромбикова Таисия Матвеевна,Архив и библиотека,архивист,1953,1999,Нижний Отрезок,0.5,
1354,Пунктиров Василий Леонидович,Служба обсерватории Касательная,смотритель,1988,2013,Касательная,0.75,
1355,Рёбров Глеб Павлович,Служба обсерватории Касательная,инженер-оптик,1954,1987,Касательная,0.5,
1358,Штрихова Зоя Павловна,Служба обсерватории Касательная,наблюдатель,1975,2007,Касательная,1.0,
1362,Медианов Семён Андреевич,Архив и библиотека,библиограф,1953,1982,Нижний Отрезок,0.75,
1365,Векторов Борис Романович,Служба обсерватории Касательная,инженер-оптик,1956,2009,Касательная,0.5,
1368,Отрезкин Ярослав Олегович,Отдел теоретической космологии,аспирант,2001,2025,Нижний Отрезок,1.0,
1374,Кривцова Галина Ильинична,Мастерские,слесарь-лекальщик,1957,2025,Нижний Отрезок,1.0,
1376,Катетов Игорь Матвеевич,Радиоотдел (обсерватория Нормаль),научный сотрудник,1954,1993,Нормаль,1.0,
1383,Делителева Елена Ильинична,Отдел теоретической космологии,аспирант,1996,2022,Нижний Отрезок,0.75,
1384,Плоскина Ирина Ильинична,Радиоотдел (обсерватория Нормаль),инженер,1979,2002,Нормаль,0.5,
1385,Дугова Софья Матвеевна,Бухгалтерия и администрация,завхоз,1953,2009,Нижний Отрезок,1.0,
1387,Лучинина Полина Павловна,Архив и библиотека,библиограф,1950,1987,Нижний Отрезок,0.5,
1391,Трапециев Егор Ильич,Бухгалтерия и администрация,специалист по кадрам,1999,2021,Нижний Отрезок,0.5,
1397,Тангенсов Семён Кириллович,Отдел наблюдательной космологии,научный сотрудник,1977,2009,Нижний Отрезок,1.0,
1402,Дугов Всеволод Ильич,Архив и библиотека,библиограф,1976,2016,Нижний Отрезок,0.5,
1408,Углова Ирина Семёновна,Архив и библиотека,библиограф,1982,2014,Нижний Отрезок,0.75,
1410,Векторов Олег Андреевич,Радиоотдел (обсерватория Нормаль),научный сотрудник,1962,1987,Нормаль,1.0,
1419,Радиусов Игорь Денисович,Отдел теоретической космологии,научный сотрудник,1963,2000,Нижний Отрезок,1.0,
1427,Прямова Ульяна Леонидовна,Служба обсерватории Касательная,инженер-оптик,1983,2022,Касательная,1.0,
1435,Катетова Ульяна Романовна,Лаборатория толщинометрии,научный сотрудник,1984,2019,Нижний Отрезок,0.75,
1439,Центров Тимофей Олегович,Отдел теоретической космологии,научный сотрудник,1997,2019,Нижний Отрезок,1.0,
1448,Вершинина Ирина Игоревна,Отдел теоретической космологии,аспирант,1996,2017,Нижний Отрезок,0.75,
1449,Плоскин Семён Матвеевич,Лаборатория толщинометрии,старший научный сотрудник,1973,2011,Нижний Отрезок,1.0,
1450,Рёброва Юлия Романовна,Дирекция,заместитель директора по науке,1990,2019,Нижний Отрезок,0.75,
1453,Синусова Марина Павловна,Отдел наблюдательной космологии,старший научный сотрудник,1967,1993,Нижний Отрезок,0.75,
1456,Лучинин Никита Денисович,Служба обсерватории Касательная,смотритель,1994,2019,Касательная,1.0,
1462,Овалова Софья Фёдоровна,Архив и библиотека,библиограф,1996,2017,Нижний Отрезок,1.0,
1463,Сегментов Андрей Лукич,Бухгалтерия и администрация,бухгалтер,1966,2001,Нижний Отрезок,1.0,
1466,Хордин Антон Васильевич,Дирекция,заместитель директора по науке,1973,1996,Нижний Отрезок,1.0,
1468,Рёброва Нелли Глебовна,Бухгалтерия и администрация,бухгалтер,1969,2006,Нижний Отрезок,0.75,
1472,Гранёв Павел Романович,Служба обсерватории Касательная,инженер-оптик,1983,2012,Касательная,0.75,
1477,Кривцова Ульяна Фёдоровна,Архив и библиотека,библиограф,1955,2005,Нижний Отрезок,1.0,
1485,Секторова Вера Ильинична,Лаборатория толщинометрии,инженер,1977,2000,Нижний Отрезок,1.0,
1488,Делителева Ольга Леонидовна,Отдел теоретической космологии,старший научный сотрудник,1965,1996,Нижний Отрезок,1.0,
1493,Апофемова Марина Ильинична,Отдел наблюдательной космологии,аспирант,1997,2022,Нижний Отрезок,0.5,
1500,Пунктиров Семён Андреевич,Радиоотдел (обсерватория Нормаль),оператор радиотелескопа,1996,2018,Нормаль,0.5,
1508,Синусова Ксения Кирилловна,Отдел наблюдательной космологии,младший научный сотрудник,1981,2020,Нижний Отрезок,0.5,
1510,Тензорова Жанна Кирилловна,Лаборатория толщинометрии,инженер,1952,1992,Нижний Отрезок,0.75,
1512,Касательнова Римма Игоревна,Отдел теоретической космологии,ведущий научный сотрудник,1975,2010,Нижний Отрезок,1.0,
1518,Отрезкин Никита Семёнович,Отдел наблюдательной космологии,старший научный сотрудник,1980,2007,Нижний Отрезок,1.0,
1523,Ромбиков Павел Ильич,Радиоотдел (обсерватория Нормаль),оператор радиотелескопа,1995,2017,Нормаль,1.0,
1532,Катетова Нелли Леонидовна,Мастерские,шлифовщик отрезков,1977,2025,Нижний Отрезок,0.75,
1536,Диагоналев Олег Павлович,Дирекция,заместитель директора по науке,1968,1991,Нижний Отрезок,1.0,
1538,Касательнова Марина Павловна,Отдел наблюдательной космологии,научный сотрудник,1994,2023,Нижний Отрезок,1.0,
1544,Ромбикова Римма Игоревна,Отдел теоретической космологии,аспирант,1996,2024,Нижний Отрезок,1.0,
1546,Медианов Кирилл Романович,Лаборатория толщинометрии,инженер,1976,2014,Нижний Отрезок,0.75,
1548,Ромбиков Игорь Андреевич,Лаборатория толщинометрии,инженер,1971,2013,Нижний Отрезок,0.5,
1554,Секторова Ирина Ильинична,Отдел теоретической космологии,аспирант,2001,2025,Нижний Отрезок,0.75,
1557,Гранёв Семён Денисович,Радиоотдел (обсерватория Нормаль),оператор радиотелескопа,1983,2004,Нормаль,1.0,
1560,Катетова Жанна Игоревна,Служба обсерватории Касательная,ведущий инженер,1976,2018,Касательная,1.0,
1568,Углов Кирилл Семёнович,Бухгалтерия и администрация,бухгалтер,1998,2022,Нижний Отрезок,0.5,
